,no,author,content,true-author
36,00037,candidate00001," , I have utilized the structuring spreadsheets used in the original calculations to determine the PG&E receivables. To the best of my knowledge the following are the settlement numbers for PG&E: Canada Corp. April 1-5 C$2,195,876.67 US$387,627.50 April 6-11 C$2,635,052.00 US$465,153.00 March receivables unchanged. North America Corp. No physical flow in April. All receivables from March. No change. Power Marketing, Inc. April 1-5 US$374,720.00 April 6-10 US$374,720.00 March receivables unchanged. Please call if you have any questions. ",candidate00001
37,00038,candidate00001, Still sore? Up for tennis? I can play Wed or Thurs. Talk to you soon. ,candidate00001
38,00039,candidate00001," Hi I will be out of town all of next week (sorry I will not be able to play) but will try to mail you the results and league fee early next week on the one day I am back. Tonight, all of the lines except line 4 won. Thanks and talk to you soon. ",candidate00001
39,00040,candidate00001, we can go over this with stuart before the wspp meeting. talk to you soon ,candidate00001
40,00041,candidate00001, Hi Tracy Give me or (713 345 2679) a call about this - I'll be here until 300 ,candidate00001
41,00042,candidate00001," As with any pearl, and in your case, enough has been said. Given everything, else don't fret over this one. I have already enough ammo. ",candidate00001
42,00043,candidate00001," Hi Thanks for the email - I will call you later about this email but in the meanwhile, I'm trying to get new accounts set up with Hunt so that we can separate mom's IRA into 3 accounts. Can you email me your SS#. Thanks ",candidate00001
43,00044,candidate00001, This was sent to me by a friend in NY - I thought it was a helpful ,candidate00001
44,00045,candidate00001," As you requested attached is language EPMI/ENA currently uses for index based power deals at various delivery points. This language forms the basis for what is inserted into physical and financial confirmations for power index-based deals. The underlying confirmations may also contain conforming language depending upon the delivery point and the counterparty. This language is updated/revised periodically as indexes change, new information becomes available and/or to fit the agreed upon transaction. If you have any questions, please call me at 713 853 6349. ",candidate00001
45,00046,candidate00001, Unbelievable - thanks for the call. How about lunch the week of July 9th? ,candidate00001
46,00047,candidate00001, I think I may have just committed (by omission) my first (and may be only for this season's) fatal error - I forgot to get ranked and have never been ranked before. I don't know the rules but I would assume until I get ranked I wouldn't be able to play. I will try to get ranked ASAP but in the meanwhile.... do you know what the rules require. I am so sorry if this is causing any problems. Thanks ,candidate00001
47,00048,candidate00001, great - ill be there by 300 I spoke to yesterday and confirmed dinner at our house at 700 ,candidate00001
48,00049,candidate00001, Please forward to Sami EPMI's short form GTC's. Thanks ,candidate00001
49,00050,candidate00001, Are you talking to PG&E about post petition power invoice? I understand the Canadian receivable post petition was paid. Is that right? Give me a call when you get a chance. ,candidate00001
50,00051,candidate00001, Hi THought you might get a kick from this. you made it home smoothly and spent the weekend playing soccer. Talk to you soon. ,candidate00001
51,00052,candidate00001, Hi Dr's name is Dr Nemodo. Last telephone number I had is 713 467 2700. He worked out of Memorial Hospital off of I10. He was a solo flyer just gettting starting when I saw him. See you tonight. ,candidate00001
52,00053,candidate00001," I agree - a fundamental assumption of the MNA is that square setoff works and that you can setoff financial and physical commodity contracts. To make it work, all parties must sign the MNA. From there you need to believe that square setoff works and that the bankruptcy court will allow the setoff and not make an issue of ""the lack of mutuality"" taking into consideration that the assets of the bankrupt party may be being used to satisfy liabilities of the non-bankrupt party. ",candidate00001
53,00054,candidate00001," , our nanny, is already picking up but thanks any way - see you there ",candidate00001
54,00055,candidate00001, hi steve could you let christian know about the secretarty situation - I tried to cc him on the earlier message sent you but I just got a response saying no delivery. thanks ,candidate00001
55,00056,candidate00001," We did not sell anything until after June 30th. Go ahead and call Lou, but why would you use December 31st; clearly things are lower in June. Do you get to pick and choose by each stock which date to use? I'm in the office today but traveling a lot this week. If you need to reach me after today, please leave me a message at work and I will call you back. Also Do we need to include the 2,400 from Suntrust in my mom's estate since it was held by both my brother (who closed the account this weekend) and my mother? ",candidate00001
56,00057,candidate00001, These contracts are the CDWR deals that got released over the weekend - I'm glad you have them (I was getting copies from Reliant but I'll wait for yours... it will be really interesting to see how the CDWR deals were done). ,candidate00001
57,00058,candidate00001," Hi I would not be able to make the meetings during the week of July 23rd but could on the collateral annex. The WSPP is holding its meeting on August 10th so that also may not be the best time for people, but again could likely attend the collateral annex meeting. all is well. And as always thanks for your help. ",candidate00001
58,00059,candidate00001, has an appointment for 1 hour 1130-1230 with Loiuse (recommended by Ms Ing and who is also a good friend of Baisich the women in Clear Lake I was waiting on ) 6 blocks from AOS next Wed. I'm working on insurance coverage now. My appointment at MD may conflict - can you make it if I can't? ,candidate00001
59,00060,candidate00001, Nothing to date has been communicated to PGE re settlement. I'll keep you posted (that's a joke). ,candidate00001
60,00061,candidate00001, Can you help me w making the online contribution ($250) - thanks ,candidate00001
61,00062,candidate00001," At the request of Eickenroht, attached is a draft of the Second Amendment to the Master Netting Agreement between New Power and the Parties. In order to get this draft to you as soon as possible, I am at the same time circulating it for internal review; accordingly, there may be additional comments from . Please call either me or Mellencamp (713 853 7986) with any questions or comments. ",candidate00001
62,00063,candidate00001," Hi Big news. We will make a settlement offer. $102. Message to be conveyed today, Wed. I'll keep you posted. ",candidate00001
63,00064,candidate00001," Hi thanks - I think we should delete highlighted language but lets confirm w CY. Also I think we should discuss whether the definition should roll w the WSPP (see black highlighted language) - we rolled because WSPP, we thought, rolled. Now we know it doesn't. I don't think our other products roll. How about a brief call w you me and CY. Sorry to add layers off confusion, but the WSPP rolling has been of gnawing frustration; hence ... ",candidate00001
64,00065,candidate00001, It was American Electric Power but agreement is currently on hold ,candidate00001
65,00066,candidate00001," we will meet just to make sure nobody has anything they want to talk about, so it should last hardly at all ",candidate00001
66,00067,candidate00001, I read through the document this am and made very few changes.Attached are my minor insignificant comments. I will be in likely on 28 hopefully by 730. See you then. ,candidate00001
67,00068,candidate00001," sure, love to, but where or at what number to call. happy new year ",candidate00001
68,00069,candidate00001, I was thinking of getting my hair cut today at 5 or 530. Doe that work for you being home around 600 (today is Ms so will not likely be back until 615/630) ,candidate00001
69,00070,candidate00001, thanks for the vm incredible! lunch next week? have a great 4th ,candidate00001
70,00071,candidate00001, Hi I have asked JANET MOORE to pick this up from . JANET's number is 57400. ,candidate00001
71,00072,candidate00001," Hi mary cook or carol stc, likely mary. Also harlen is working on a live one with Calpine so ..... ",candidate00001
72,00073,candidate00001," My typing is so poor and slow or else a book would surely follow. Upon 's return we shall revisit the thorny WSPP meeting in Colorado in the modern way, by phone for lack of my speed and agility. (CY - I think we were starting to recap the absurdity when Skilling suddenly resigned). But in the meanwhile a preview. The EEI creep was evident when Small after himself, personally, taking credit for drafting 's market disruption language (he said it was very time consuming to draft) proceeded to be challenged by all the EEI members who the day before had sat around the table for 2 productive hours challenging certain concepts that originally proposed (as a result we will be modifying our language soon since some good issues were raised). After hearing the new issues threw up his arms and asked that we propose new language. Afterwards, I spoke with , sorry , and proposed to meet with him to discuss the possibility of bringing the groups together, using the absurdity of the market disruption language discussion as good evidence of what we could achieve together. He said theoretically that might be able to happen but he never saw it happening. I asked why. He said too painful. What pain. He said Stack. I said one bad day in Newport. He stopped talking. He did ask if we wouldn't sit down with him and tell him line by line why we don't like the WSPP. , I think this meager offer is something we can't miss so .... Maybe, at this meeting, and others can begin the writing of a world of one, a world where can make yet another name for himself. ",candidate00001
73,00074,candidate00001," I could only get a court from 5-6. Can you get there earlier or should we risk finding a court. your feeling better. Sager, sam's dad 713-853-6349 ",candidate00001
74,00075,candidate00001, here are some sample letters - this one is 's start - she did not go all the way through it. It is based on the PG&E letters. ,candidate00001
75,00076,candidate00001," - these are documents that furnished to early on, so .... here they are for what its worth. Thanks ",candidate00001
76,00077,candidate00001," Attached is a brief memo I prepared in anticipation of the meeting scheduled for Wed., May 23rd, to discuss setoff issues. Please call if you have any questions or comments. 713 853 6349 ",candidate00001
77,00078,candidate00001," Thanks for this - as you suggested earlier when I get a break I will follow-up on your earlier email, re WEST TEAM with as support, and send out another email. ",candidate00001
78,00079,candidate00001, Can you help get this set up Participants K (and the people at LLLG that he thinks are appropriate) \ N/ Llodra ( has warned him of this and can help coordinate w him if necessary). Thanks ,candidate00001
79,00080,candidate00001, Skilling just resigned. DO you think 's retirement speech had any impact? See ya tonight ,candidate00001
80,00081,candidate00001," thanks susan for the update. when you talk to cathy see if we can get a draft anytime today/tonight - the only chance I will likely have to review it will be Wed morning, very early (around 4 or 5 am). They can email it me directly and I can pick it up at my house in the am if necessary. My email is .Sager@enron.com ",candidate00001
81,00082,candidate00001, OOPs again - I gave you my phone number. My fax is 713 646 3490. Thanks ,candidate00001
82,00083,candidate00001," absolutely- frustration is multiplying with each new filing, each new contract, each new outside counsel (for that matter all outside counsel) see you soon ",candidate00001
83,00084,candidate00001, great - email to <mailto:.Sager@enron.com> I will be able to pick up at home and read early in am before going in to work. thansk ,candidate00001
84,00085,candidate00001," Hi I will look into this - Part of the problem is also that I don't have an assistant ( left a few weeks ago and my new assistant ()( HOORAY ), doesn't start until June 1st) who can approve or knows anything about invoicing. ",candidate00001
85,00086,candidate00001, Hi I am going to be out of the office the rest of this week but lets talk early next week about this . Thanks ,candidate00001
86,00087,candidate00001, The system won't let me review these requests. It says that I am not authorized to review the content. ,candidate00001
87,00088,candidate00001, Hi How about trying to hit on Wed (afternoon) or Thurs (lunch). Talk to you soon ,candidate00001
88,00089,candidate00001, thanks for your help - we received signed copy today. talk to you soon. ,candidate00001
89,00090,candidate00001, Sounds great - 200 works fro me Wright My assistant will try to assemble the group and will confirm time with you. ,candidate00001
90,00091,candidate00001, We are half way home - You passed the drug test (excellent). Still no news on the background check - but HR will call the service this morning and get back to me. ,candidate00001
91,00092,candidate00001," Attached are copies of the PG&E Standstill Agreement (for reference) and the last extension that we did for the month of July (standstill expires on July 20). I will be out of the office starting today and will not return until July 30. After we have finalized the terms of the extension with PG&E, these are the forms that will need to be revised. , if for any reason you need any help on this, please feel free to ask for assistance. She is out today but will be in Friday and Monday. Thanks. ",candidate00001
92,00093,candidate00001, Thurs at 530 would work great - See ya there PS I didn't make the masters yet but ...... soon? I'm talking to my brother who is having some rough times about doing another family triathlon together at a Delaware beach. Of course I'd have to somehow find a bike to practice on - I haven't been on one since was born. See ya Thurs. ,candidate00001
93,00094,candidate00001, unbelievable hope the end is near - I'll try to avoid calling (I do know your number) until I see and back in ,candidate00001
94,00095,candidate00001," Hi and I will be there on the 20th. Thanks. Also, sorry for the delay on getting the $7.00 to you - its in the mail today. Thanks again for everything. ",candidate00001
95,00096,candidate00001, Please RSVP no for me ( I will be out of town at a wedding). Which reminds me. We always need to send an email to (and ? - ask for exact policy when I am out of the office for a day. thanks ,candidate00001
96,00097,candidate00001," Hi guys I just remembered that we talked about playing today (1030?) Can anybody make it? If not, let's try to reschedule. all is well and I'll talk to you soon. ",candidate00001
97,00098,candidate00001," Hi In accordance with 's call to you, here are revised drafts of the Modification Agreement and LC for your review. By copy of this email I am at the same time circulating the documents for review by others at . I apologize in advance for not sending a blackline (a glitch here prevented me from making final changes in blackline) - if you are unable to make a marked copy from your prior version, let me know and I will attempt Tuesday morning to send you one. Thanks again for your help in getting this finalized. ",candidate00001
98,00099,candidate00001, Looks like there is alot of work needed on 's draft. I'm working this weekend and hopefully we all can meet on Monday. Meanwhile can you get from anything in writing that we used in connection with opposing the Bingham bill. Those arguments would be very helpful to maybe repeat in the FERC response ,candidate00001
99,00100,candidate00001, This is what happened last time when I tried to to send it. ,candidate00001
100,00101,candidate00001," Attached are additional drafts of agreements required in connection with the proposed Second Amendment to Master Netting Agreement, a draft of which I forwarded to you earlier. Please excuse the inconsistent reference to Sections - we are still trying to clean that up. ",candidate00001
101,00102,candidate00001," Thanks for the words - given my week, my month, my year, I need all the reminders I can to refocus and prioritize. all is well with you. ",candidate00001
102,00103,candidate00001, Here is an unproofed draft of examples. Please forward to the appropriate people at LLG. Thanks ,candidate00001
103,00104,candidate00001, Can you get and me a copy of the applicable contract/tariff. Thanks ,candidate00001
104,00105,candidate00001, Can you help me figure out how to get access to this. I get this message everyday and don't know what to do. ,candidate00001
105,00106,candidate00001, Yes - we will likely need to draft new product definitions as well as determine the impact on our long dated Into products. I have a meeting w Nicolay at 400 to start discussing. I'll keep you updated as I learn more . Thanks. ,candidate00001
106,00107,candidate00001, I have a court at 500 - see ya there unless I here otherwise ,candidate00001
107,00108,candidate00001, I reserved a court for 500. Let me know in the afternoon if you can make it. See ya. ,candidate00001
108,00109,candidate00001," Thanks for this - it is very helpful. It seeme to have taken everybody by surprise even regulatory. Have a great weekend and I will talk to you next week. ps on the midmarket change .... I'll circle the wagons as long as necessary. No way, no how, no reallocation. In the East, we allocate work based on project not client base. The West will likely be the same but .. thanks for the heads up so we can react in the most thoughtful of ways. pss on the secretary front, I've been exchanging messages with so I can get the facts and unanimous approval - I'll try to get MH's OK next weekend. call when accomplished. ",candidate00001
